id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b
1998,4042.9176264752155,3483.5714836876004,129.03598951805117,15.316308962817276,406722.5998437501,4322.187151182114,-14.023245762427372,0.011537974716874908,0,7.024898529052734,6.452625274658203
1864,5016.4485798149635,3354.0283975094385,127.45854818344476,15.536742535415067,389759.3240625001,4311.253163125833,-13.97699128361279,0.012009677147154322,0,5.561793804168701,4.2084503173828125
1953,113.73657437357315,3450.1279131902097,135.387816068647,15.183059222116933,388589.65046875004,4323.07533741534,-13.973728074008822,0.012078858518405818,0,2.7135579586029053,2.3900482654571533
1983,4638.5136686779415,3481.3460042282018,128.06935449877298,15.332115110442183,387036.3129687501,4322.895677143823,-13.96937928452471,0.012126832002056668,0,2.978464365005493,2.7911601066589355
1925,4736.06141252357,3416.9954658897173,127.91254329111672,15.43432945533052,384817.67250000004,4307.68506654096,-13.963137521284711,0.012153832762032132,0,4.041219234466553,3.162318468093872
1479,4638.6847651575645,2914.2805168166083,128.08291318110335,16.21928585266964,382312.99375000014,4325.3341222095205,-13.956047646813373,0.012283578980916074,0,3.8220949172973633,3.807129383087158
2049,5479.747975641352,3545.90583239292,126.70403470204357,15.24154217548828,377362.3201562501,4321.776607213317,-13.941896333602639,0.012434493537630787,0,1.9101682901382446,1.7826969623565674
2092,3751.200793964544,3592.3553813891426,129.50536691401143,15.138633661222006,377032.6648437501,4297.782098634569,-13.940947444127577,0.012376268848171857,0,2.7850608825683594,2.505448579788208
1743,4586.523172966462,3217.2141464641504,128.1604072198511,15.744290100949522,376573.80578125006,4309.723693960119,-13.939625268753492,0.012425779422784876,0,2.8428752422332764,2.6028645038604736
1434,5304.479669988478,2860.3674958259926,126.99804273133334,16.311744342408765,375564.2284375001,4315.591714462515,-13.936710550225644,0.012476146061194742,0,3.649604320526123,3.5337507724761963
2022,4568.847046944704,3517.3808595792534,128.1814937161801,15.274559082908947,373087.6564062501,4306.3233292922,-13.929527201647023,0.012531990988509099,0,3.8568568229675293,2.9010374546051025
1414,4018.9946037367727,2838.142693576676,129.09642685867757,16.325973228731822,372042.4451562501,4300.203751004858,-13.926481225011072,0.012549339359227817,0,4.083065509796143,3.736116409301758
1742,4177.01271119345,3216.9212826958405,128.82667474451003,15.736585527466103,367168.54796875,4305.636016661041,-13.912163680038693,0.012731986259883412,0,2.6937899589538574,2.516080617904663
1916,784.0484317067579,3390.0725442063986,134.31633539083413,15.320914040947539,366476.6187500001,4329.469020416937,-13.910115679559016,0.012826633466764327,0,10.544236183166504,9.205962181091309
2068,3738.550344699544,3565.3298547436616,129.5268992865711,15.18053613179835,358435.6534375001,4322.573068027596,-13.886028005551696,0.01309349121009896,0,2.2634849548339844,2.1006622314453125
1917,1749.7721359649768,3404.270180817465,132.7572432226053,15.35366849629143,358395.56000000006,4313.6021116347765,-13.88590655186526,0.013067779035887036,0,4.1986775398254395,3.8792357444763184
1759,740.406872107676,3221.2628265826283,134.4002383745399,15.581457436340253,358015.7125,4304.572995373642,-13.88475521816208,0.01305426154194646,0,8.582843780517578,7.604379177093506
1338,3326.4522021737625,2709.0943830253177,130.2324323863186,16.508401633347574,358004.0282812501,4319.536404613492,-13.884719783442618,0.013100067853357317,0,3.3972766399383545,3.138648748397827
1940,2323.7446696166544,3433.3769431269498,131.8266632788229,15.335679125727104,356047.92375,4310.33687648077,-13.878771143944878,0.013143985652856207,0,3.370220184326172,2.9502158164978027
1846,3273.929420275578,3333.6963373785534,130.29053007984436,15.52862278988623,355861.31375000003,4316.29939690819,-13.878201944313414,0.013169069928998148,0,2.9109690189361572,2.306065082550049
1351,3020.8808317063676,2733.866344596758,130.7302999440625,16.458923883785324,355552.63500000007,4322.239571102,-13.87725975385978,0.013198642130675503,0,3.3920350074768066,3.1153836250305176
