id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b
2267,5085.502354036666,683.5321503225395,310.244682014876,45.78511619846135,531095.0518750001,4360.599910777759,-14.312930637969828,0.008914527034062439,0,2.0288820266723633,1.842261552810669
1301,4754.493838520995,362.9982274048219,310.93427884692164,46.321560221017364,510134.83296875015,4334.168384242675,-14.269212447475432,0.009224548547106528,0,3.312242269515991,3.1118364334106445
1893,4979.551003287357,545.2691416582954,310.45852537686795,46.01277990036244,498731.76593750017,4362.875455584023,-14.244667577012768,0.009497954937909073,0,1.9973363876342773,1.8060072660446167
2060,5010.267668113898,602.3182564040901,310.3989135340003,45.92039198443918,472122.40062500007,4356.8297996507745,-14.185136516842983,0.01001936753093657,0,2.0196640491485596,1.8388128280639648
2251,4929.173478579925,670.2559853777651,310.588866126204,45.82377160038684,468808.79390625004,4347.451135884825,-14.177489373934742,0.010068465348776982,0,7.5105977058410645,3.722496271133423
660,4867.153518486053,185.66639425754883,310.6564472030439,46.58546860697982,465916.75187499996,4356.117566638325,-14.170770814090519,0.010151157981009894,0,1.795366644859314,1.613494873046875
1673,4819.655763832286,476.7481770595913,310.804560154007,46.13733851413789,439298.65828125016,4353.061240182736,-14.106899692081242,0.010758685693435096,0,2.444610595703125,2.0830907821655273
2638,4997.778822089247,823.9265688134224,310.45985726878337,45.57658759979516,433739.4365625001,4346.420250512197,-14.093072277431158,0.010879955635288404,0,2.191277503967285,2.090036630630493
2322,4936.672523570546,704.8478851030235,310.57731393329806,45.769031437461166,430656.6540625,4361.0573344158765,-14.085327904686231,0.010994739763881895,0,2.3090670108795166,2.1530611515045166
1080,4951.536933290407,305.1566925260316,310.4849347251486,46.38987910313525,420565.21703125,4350.908953256923,-14.059583378459859,0.011232358699331823,0,2.5291194915771484,1.4949231147766113
1672,4809.390943286334,475.4125832656622,310.82726586325936,46.1405280024734,417611.58921875,4344.564552025756,-14.051931355875807,0.011295306810971422,0,2.095844030380249,1.8206382989883423
2056,5026.048106303764,600.6193703091441,310.3636425246526,45.92120875890207,412069.0451562501,4334.902269389271,-14.037424978299107,0.011421776018578283,0,1.7565385103225708,1.5082015991210938
670,4699.919288163293,188.03583596043697,311.0328031791716,46.599891752343716,409554.75375,4343.637221413639,-14.030779928012048,0.011515051768884007,0,2.0403270721435547,1.6686235666275024
3117,5059.785512160158,1007.2339394812891,310.35098346895,45.28384903724786,405558.35671875015,4337.161971752814,-14.020133386672775,0.011611186653214076,0,22.898212432861328,21.54905128479004
2220,4848.366502044842,666.2853112837294,310.767472429977,45.83884934883035,398929.92203125,4342.414015214494,-14.002241530268822,0.011818406822835838,0,2.2612051963806152,2.010532855987549
1597,4749.332805117463,457.47400299400584,310.95880123217813,46.174880587059036,398663.6957812501,4345.388386068759,-14.001516721337152,0.011834399631611106,0,2.2779347896575928,1.8410176038742065
2558,5050.0103384692065,795.9722687602487,310.3404057495226,45.614142524957636,395168.36375,4338.973490210559,-13.991955421780611,0.011921451821451249,0,1.8007477521896362,1.5335159301757812
