NAME,SPECT_TYPE
V695 Cas  ,                 
V1378 Cas ,                 
V559 Cas  ,B8IV             
V1376 Cas ,                 
V1382 Cas ,                 
QR Per    ,                 
V1077 Per ,                 
V1079 Per ,                 
V1086 Per ,                 
V1001 Per ,                 
V882 Per  ,                 
V1076 Per ,                 
V883 Per  ,                 
V623 Cas  ,"C4,5J(R5)        "
V681 Cas  ,                 
DT Per    ,                 
DW Per    ,F6Ib             
V359 Per  ,B1III-IV         
V613 Per  ,                 
V977 Per  ,C                
V691 Cas  ,                 
DX Per    ,                 
LQ Per    ,                 
V679 Per  ,                 
V498 Cas  ,                 
V576 Cam  ,                 
V1389 Cas ,                 
V697 Cas  ,                 
LW Cas    ,A0III            
V626 Cas  ,M1               
V1377 Cas ,                 
V1087 Per ,                 
V508 Per  ,                 
V617 Per  ,                 
V973 Per  ,                 
V3188 Oph ,                 
V2029 Oph ,                 
V2031 Oph ,                 
V530 Oph  ,                 
V466 Oph  ,                 
V3139 Oph ,                 
V816 Oph  ,                 
V378 Oph  ,                 
V3076 Oph ,                 
V464 Oph  ,                 
V3174 Oph ,                 
V3102 Oph ,                 
V3092 Oph ,                 
V3081 Oph ,                 
V2288 Oph ,                 
V2319 Oph ,                 
V3134 Oph ,                 
V3109 Oph ,                 
V2299 Oph ,                 
V2325 Oph ,                 
V2298 Oph ,                 
V2324 Oph ,                 
V382 Oph  ,                 
V2317 Oph ,                 
V2320 Oph ,                 
V2327 Oph ,                 
V3054 Oph ,                 
V2315 Oph ,                 
V3066 Oph ,                 
V3090 Oph ,                 
V811 Oph  ,                 
V2316 Oph ,                 
V2322 Oph ,                 
V2318 Oph ,                 
V4327 Oph ,                 
V4319 Oph ,                 
V978 Oph  ,                 
V559 Oph  ,                 
V3150 Oph ,                 
V561 Oph  ,M6               
V439 Oph  ,                 
V3122 Oph ,                 
V2201 Oph ,                 
V3047 Oph ,                 
V3084 Oph ,G0               
V3185 Oph ,                 
V2558 Oph ,                 
V933 Oph  ,                 
V3106 Oph ,                 
V3055 Oph ,                 
V1078 Oph ,                 
V2203 Oph ,                 
V3156 Oph ,                 
V3045 Oph ,M7               
V2379 Oph ,                 
V2296 Oph ,                 
V2941 Oph ,                 
V768 Oph  ,                 
V802 Oph  ,                 
V2965 Oph ,                 
V3027 Oph ,                 
V779 Oph  ,                 
VZ Oph    ,                 
V798 Oph  ,                 
AP Oph    ,                 
V3010 Oph ,                 
V2938 Oph ,                 
AQ Oph    ,                 
V3699 Oph ,                 
V2556 Oph ,                 
V3032 Oph ,                 
V799 Oph  ,                 
DQ Cnc    ,M1:              
DO Cnc    ,M3-4             
XX Cnc    ,M4               
CM Cnc    ,                 
DT Cnc    ,M                
GW Cnc    ,                 
PQ Cnc    ,                 
RY Cnc    ,                 
T Cnc     ,"C3,8-C5,5(R6-N6) "
IL Cnc    ,                 
BQ Cnc    ,F2Vn             
BW Cnc    ,F0Vn             
CE Cnc    ,                 
S Cnc     ,B9V+G8IV         
CP Cnc    ,                 
BN Cnc    ,A9V              
HI Cnc    ,A7Vn             
BU Cnc    ,A7Vn             
BX Cnc    ,A7V              
EP Cnc    ,A6Vn             
EN Cnc    ,                 
CY Cnc    ,F0V              
EO Cnc    ,                 
DK Cnc    ,M3               
DS Cnc    ,M4               
CO Cnc    ,                 
FV Cnc    ,G0-4             
EE Cnc    ,                 
OP Cnc    ,                 
OR Cnc    ,                 
OV Cnc    ,                 
SY Cnc    ,pec(UG)          
FZ Cnc    ,M4III            
MU Cnc    ,                 
LL Cnc    ,                 
DL Cnc    ,M                
DF Cnc    ,M4               
U Cnc     ,M2e              
BY Cnc    ,A7Vn             
MP Cnc    ,                 
BZ Cnc    ,                 
DG Cnc    ,M2:              
CV Cnc    ,M5Ve             
AU Cnc    ,                 
BR Cnc    ,F0Vn             
BS Cnc    ,A9Vn             
BT Cnc    ,F0III            
OT Cnc    ,                 
FS Cnc    ,M4               
AN Cnc    ,                 
IK Cnc    ,G5V              
HZ Cnc    ,sd:B             
X Cnc     ,"C5,4(N3)         "
PX Cnc    ,                 
PW Cnc    ,                 
FF Cnc    ,K0               
FR Cnc    ,K8               
TX Cnc    ,F8V+F7V          
AV Cnc    ,                 
AZ Cnc    ,M6.5Ve           
CN Cnc    ,                 
V670 Tau  ,                 
VW Tau    ,                 
V567 Tau  ,                 
V581 Tau  ,                 
V765 Tau  ,                 
V733 Tau  ,                 
V498 Tau  ,                 
V427 Tau  ,                 
V426 Tau  ,                 
V435 Tau  ,Mea              
V784 Tau  ,                 
V604 Tau  ,                 
V502 Tau  ,                 
NS Tau    ,M:               
MV Tau    ,M2:              
LW Tau    ,                 
V486 Tau  ,A0p(Cr-Sr-Eu)    
V1064 Tau ,                 
V848 Tau  ,                 
V966 Tau  ,                 
LR Tau    ,M3e-M4e          
V1003 Tau ,                 
MM Tau    ,K7-M0Ve          
V488 Tau  ,                 
V844 Tau  ,                 
V963 Tau  ,                 
V1004 Tau ,                 
MT Tau    ,G5V              
V595 Tau  ,                 
V974 Tau  ,                 
V385 Tau  ,                 
V682 Tau  ,                 
V365 Tau  ,K7-M0:           
V876 Tau  ,                 
V673 Tau  ,                 
V975 Tau  ,                 
V351 Tau  ,                 
V1012 Tau ,                 
V538 Tau  ,                 
V374 Tau  ,                 
EQ Tau    ,G2               
QU Tau    ,M3Ve-M4Ve        
V526 Tau  ,                 
V981 Tau  ,                 
V683 Tau  ,                 
V574 Tau  ,                 
V353 Tau  ,M2-M3Vea:        
V403 Tau  ,M:               
V1056 Tau ,                 
V652 Tau  ,K2.5Ve           
V750 Tau  ,                 
V1058 Tau ,                 
V879 Tau  ,                 
V340 Tau  ,M2-M4            
V770 Tau  ,                 
V576 Tau  ,                 
V549 Tau  ,                 
V817 Tau  ,                 
V384 Tau  ,M0-M1            
V644 Tau  ,ea               
V377 Tau  ,M:               
V802 Tau  ,                 
V660 Tau  ,K3Ve             
V982 Tau  ,                 
V1211 Tau ,                 
V796 Tau  ,K4Ve             
V399 Tau  ,                 
V812 Tau  ,                 
PR Tau    ,K7Ve             
V554 Tau  ,                 
V667 Tau  ,                 
V1172 Tau ,                 
V1048 Tau ,                 
V1065 Tau ,                 
SY Tau    ,M4               
V357 Tau  ,K6Ve             
V641 Tau  ,K2V              
V650 Tau  ,A3V-A3.5V        
V1005 Tau ,                 
V815 Tau  ,                 
V375 Tau  ,K7-M0:           
V811 Tau  ,                 
V355 Tau  ,                 
V541 Tau  ,K                
V1041 Tau ,                 
OT Tau    ,K3.5Ve           
V758 Tau  ,                 
V1282 Tau ,K0IV             
V1090 Tau ,                 
V1089 Tau ,                 
V1031 Tau ,                 
AF Tau    ,                 
NP Tau    ,K4Ve-M0.5        
V497 Tau  ,                 
LZ Tau    ,K7Ve-M0e         
V1168 Tau ,                 
V841 Tau  ,                 
V624 Tau  ,A7V              
V506 Tau  ,                 
V623 Tau  ,K5.5Ve           
V1040 Tau ,                 
MS Tau    ,K7V              
V1272 Tau ,G1V              
V1224 Tau ,K1               
V1187 Tau ,                 
V1170 Tau ,                 
V500 Tau  ,                 
V810 Tau  ,                 
V1032 Tau ,                 
LP Tau    ,                 
LU Tau    ,                 
V1033 Tau ,                 
V610 Tau  ,                 
V632 Tau  ,Kea              
V1084 Tau ,                 
V598 Tau  ,                 
V1169 Tau ,                 
V1038 Tau ,                 
MR Tau    ,K7-M0V           
MY Tau    ,K5Ve-M1V         
V785 Tau  ,K5Ve             
KP Tau    ,M3-M4            
V700 Tau  ,K3V              
V1271 Tau ,                 
V625 Tau  ,                 
V843 Tau  ,                 
V782 Tau  ,                 
V501 Tau  ,                 
V1225 Tau ,A2               
V838 Tau  ,                 
KR Tau    ,M2:              
KY Tau    ,K7-M1            
V425 Tau  ,                 
NR Tau    ,K7-M0:           
V839 Tau  ,                 
KO Tau    ,                 
V1034 Tau ,                 
V513 Tau  ,                 
V1035 Tau ,                 
V627 Tau  ,                 
V606 Tau  ,                 
V494 Tau  ,                 
V579 Tau  ,                 
V1051 Tau ,                 
V1176 Tau ,                 
V888 Tau  ,                 
V677 Tau  ,K                
V404 Tau  ,                 
V1193 Tau ,                 
V1175 Tau ,                 
V971 Tau  ,                 
V1049 Tau ,                 
V797 Tau  ,                 
QX Tau    ,K7Ve-M0Ve        
V545 Tau  ,K2.5V            
PQ Tau    ,K3V-K7:          
V1210 Tau ,                 
V882 Tau  ,                 
V814 Tau  ,                 
V1057 Tau ,                 
V795 Tau  ,                 
V1085 Tau ,                 
V381 Tau  ,                 
BU Tau    ,B8Vne            
V1020 Tau ,                 
YZ Tau    ,A-G              
V474 Tau  ,                 
V1286 Tau ,G5               
V767 Tau  ,                 
V1229 Tau ,A0V              
V553 Tau  ,                 
V793 Tau  ,                 
OU Tau    ,K7Ve             
II Tau    ,M3Ve-M5Vea       
V642 Tau  ,K3Ve             
V1052 Tau ,                 
V371 Tau  ,M2-M3Ve          
V1289 Tau ,G5IV             
V983 Tau  ,                 
V816 Tau  ,                 
V557 Tau  ,                 
V1171 Tau ,                 
V578 Tau  ,                 
V707 Tau  ,M0-M1            
V1013 Tau ,                 
V694 Tau  ,                 
V1188 Tau ,                 
V343 Tau  ,K6-M0:           
V370 Tau  ,K3V              
V476 Tau  ,                 
V1054 Tau ,                 
V789 Tau  ,                 
V813 Tau  ,                 
V1045 Tau ,                 
V889 Tau  ,                 
V1228 Tau ,A4V              
V1281 Tau ,                 
V855 Tau  ,                 
V679 Tau  ,K3V              
V703 Tau  ,K3V              
V1227 Tau ,M1               
V651 Tau  ,                 
V378 Tau  ,K4Ve             
V680 Tau  ,                 
V446 Tau  ,                 
V396 Tau  ,                 
V664 Tau  ,K2.5Vea          
V1046 Tau ,                 
QY Tau    ,                 
V534 Tau  ,A9/F0V           
V771 Tau  ,                 
V746 Tau  ,                 
V980 Tau  ,                 
V584 Tau  ,                 
V540 Tau  ,K5Ve             
V969 Tau  ,                 
V643 Tau  ,                 
V397 Tau  ,                 
V376 Tau  ,K3-K5V           
V518 Tau  ,K4V              
OR Tau    ,                 
V354 Tau  ,M0V:             
AH Tau    ,G1p              
V1245 Tau ,                 
V445 Tau  ,                 
V887 Tau  ,                 
CU Tau    ,G0               
V366 Tau  ,M                
V582 Tau  ,                 
V1091 Tau ,                 
V716 Tau  ,                 
V678 Tau  ,                 
V884 Tau  ,                 
V1287 Tau ,A0               
V1043 Tau ,                 
V1047 Tau ,                 
V1244 Tau ,                 
V478 Tau  ,                 
BK Tau    ,M7               
V602 Tau  ,                 
V740 Tau  ,                 
LL Tau    ,                 
V885 Tau  ,                 
V1011 Tau ,                 
V837 Tau  ,                 
MZ Tau    ,M:               
KS Tau    ,                 
BH Tau    ,                 
V572 Tau  ,                 
V968 Tau  ,                 
V973 Tau  ,                 
UU Tau    ,M                
V970 Tau  ,                 
V637 Tau  ,                 
BI Tau    ,M2               
V1288 Tau ,G7IV             
V656 Tau  ,                 
V5933 Sgr ,                 
V4659 Sgr ,                 
V784 Sgr  ,                 
V780 Sgr  ,                 
V4683 Sgr ,                 
V783 Sgr  ,                 
V770 Sgr  ,                 
V771 Sgr  ,B0ne             
V778 Sgr  ,                 
V5357 Sgr ,                 
V6123 Sgr ,                 
V4722 Sgr ,                 
V6065 Sgr ,                 
V6070 Sgr ,                 
V6210 Sgr ,                 
V6067 Sgr ,                 
V6315 Sgr ,                 
V6045 Sgr ,                 
V506 Sgr  ,M7               
V5561 Sgr ,M3-M5Ib          
V790 Sgr  ,                 
V5097 Sgr ,                 
V4578 Sgr ,                 
V5861 Sgr ,                 
V774 Sgr  ,M5               
V5095 Sgr ,                 
V753 Sgr  ,                 
V3792 Sgr ,B5               
V5521 Sgr ,                 
V6125 Sgr ,                 
V5528 Sgr ,                 
V4211 Sgr ,                 
V6249 Sgr ,                 
V6248 Sgr ,                 
V6245 Sgr ,                 
V6337 Sgr ,                 
V6306 Sgr ,                 
V6156 Sgr ,                 
V6150 Sgr ,                 
V3915 Sgr ,                 
V1956 Sgr ,                 
V1778 Sgr ,ea:              
V5639 Sgr ,                 
V5631 Sgr ,O8V(n)           
V3903 Sgr ,O8Vn             
V6257 Sgr ,                 
V2331 Sgr ,                 
V1649 Sgr ,M8               
V5632 Sgr ,C                
V5410 Sgr ,                 
SY Sgr    ,F8               
V764 Sgr  ,M4e              
WY Sgr    ,B9               
V746 Sgr  ,M9:              
V5595 Sgr ,                 
V760 Sgr  ,G5               
UY Sgr    ,                 
V5675 Sgr ,M6               
V5096 Sgr ,                 
V756 Sgr  ,F5:              
UZ Sgr    ,M6               
AS Sgr    ,e                
AW Sgr    ,                 
AU Sgr    ,                 
V792 Sgr  ,                 
V6324 Sgr ,                 
AV Sgr    ,                 
V2416 Sgr ,M5+pec(e+cont)   
V4681 Sgr ,                 
VW Sgr    ,                 
V4202 Sgr ,                 
V6316 Sgr ,                 
V1958 Sgr ,                 
V6284 Sgr ,                 
V6300 Sgr ,                 
VX Sgr    ,M4eIa-M10eIa     
V5738 Sgr ,                 
V6264 Sgr ,                 
V6275 Sgr ,                 
V5976 Sgr ,WN7-8            
AI Sgr    ,                 
V4381 Sgr ,                 
V5991 Sgr ,                 
mu. Sgr   ,B8eqIa+B1.5V     
VY Sgr    ,F6-G2            
V1954 Sgr ,                 
V5759 Sgr ,M5.5e            
V4120 Sgr ,                 
V470 Tau  ,                 
V347 Tau  ,                 
V706 Tau  ,                 
V462 Tau  ,                 
V709 Tau  ,                 
V886 Tau  ,                 
V566 Tau  ,                 
V402 Tau  ,                 
V550 Tau  ,                 
V565 Tau  ,                 
V559 Tau  ,                 
V763 Tau  ,                 
V717 Tau  ,                 
V372 Tau  ,M2.5-M3Ve        
V800 Tau  ,                 
V1173 Tau ,                 
V1019 Tau ,                 
V689 Tau  ,                 
V1055 Tau ,                 
V692 Tau  ,                 
V571 Tau  ,                 
V360 Tau  ,                 
V761 Tau  ,                 
V1283 Tau ,K3               
V555 Tau  ,                 
V575 Tau  ,                 
V359 Tau  ,                 
V1016 Tau ,                 
V392 Tau  ,M:               
V358 Tau  ,K6Ve             
V560 Tau  ,                 
V1015 Tau ,                 
V675 Tau  ,                 
V665 Tau  ,                 
V978 Tau  ,                 
V762 Tau  ,                 
V465 Tau  ,                 
V976 Tau  ,                 
V979 Tau  ,                 
V382 Tau  ,K7V              
V489 Tau  ,                 
LO Tau    ,                 
KN Tau    ,M3-M4            
V1189 Tau ,                 
V738 Tau  ,                 
V338 Tau  ,K4.5Ve-K7        
V631 Tau  ,ea               
LS Tau    ,                 
PZ Tau    ,                 
PW Tau    ,                 
V539 Tau  ,                 
OQ Tau    ,M:               
V728 Tau  ,                 
V751 Tau  ,                 
V615 Tau  ,                 
V508 Tau  ,                 
MQ Tau    ,                 
OP Tau    ,M3-M4            
V659 Tau  ,                 
V743 Tau  ,                 
V444 Tau  ,M3Ve             
V503 Tau  ,                 
V472 Tau  ,                 
V880 Tau  ,                 
V394 Tau  ,                 
V666 Tau  ,                 
V350 Tau  ,M                
CF Tau    ,G0               
V1299 Tau ,G3               
V705 Tau  ,                 
V546 Tau  ,                 
V573 Tau  ,                 
V614 Tau  ,                 
V636 Tau  ,                 
V863 Tau  ,                 
V964 Tau  ,                 
V865 Tau  ,                 
V869 Tau  ,                 
V852 Tau  ,                 
V1014 Tau ,                 
V613 Tau  ,                 
V749 Tau  ,                 
V635 Tau  ,                 
V640 Tau  ,                 
V1036 Tau ,                 
KW Tau    ,                 
V1006 Tau ,                 
V339 Tau  ,M4:ea            
NT Tau    ,                 
V510 Tau  ,                 
QQ Tau    ,M2.5Vea          
V864 Tau  ,                 
FL Tau    ,K5V              
V658 Tau  ,                 
V734 Tau  ,                 
V653 Tau  ,                 
nu. Eri   ,B2III            
OR Eri    ,K7               
BF Eri    ,                 
DX Eri    ,B2Ve             
VZ Eri    ,M3-M7e           
BO Eri    ,                 
MM Eri    ,G3+G8            
KO Eri    ,                 
KN Eri    ,                 
EH Eri    ,B9p(Si)          
DV Eri    ,M3III            
DW Eri    ,F4IIIp(Sr)       
BP Eri    ,                 
V588 Per  ,                 
V582 Per  ,                 
V380 Per  ,A0p(Sr-Cr-Eu)    
V491 Per  ,                 
XY Per    ,A2II+B6e         
HU Per    ,A                
V722 Per  ,K4V              
V643 Per  ,                 
HV Per    ,                 
V635 Per  ,                 
V951 Per  ,                 
RV Per    ,A2               
V646 Per  ,                 
V648 Per  ,                 
V950 Per  ,G0               
V498 Per  ,                 
ksi Per   ,O7.5III(f)       
V377 Per  ,                 
AF Per    ,K0               
V499 Per  ,                 
V946 Per  ,K0               
V739 Per  ,                 
V386 Per  ,A8V              
V340 Per  ,                 
V394 Per  ,M8               
V949 Per  ,K3               
V637 Per  ,                 
V853 Ori  ,K1:              
V368 Ori  ,ea               
AZ Ori    ,K3-K6IV-Ve       
V574 Ori  ,ea               
V569 Ori  ,K5V              
V2583 Ori ,                 
V1789 Ori ,K5               
V1185 Ori ,                 
V1760 Ori ,K1Ve             
V500 Ori  ,K2:Vea           
V1075 Ori ,                 
V815 Ori  ,G2IVe:-K2-5V     
V882 Ori  ,M0:              
V870 Ori  ,                 
AR Ori    ,K7-M0e           
V1302 Ori ,                 
DM Ori    ,                 
V1301 Ori ,                 
V2620 Ori ,                 
V1378 Ori ,                 
V1053 Ori ,                 
QQ Ori    ,                 
V2603 Ori ,                 
V1082 Ori ,ea               
V2664 Ori ,                 
V861 Ori  ,                 
PX Ori    ,G8V              
V1354 Ori ,                 
V1765 Ori ,K7               
V1772 Ori ,K4               
V1236 Ori ,                 
V1084 Ori ,                 
V1048 Ori ,                 
V1768 Ori ,M0.5             
V835 Ori  ,                 
PZ Ori    ,                 
V891 Ori  ,                 
BO Ori    ,K4e              
V581 Ori  ,                 
PT Ori    ,G                
V624 Ori  ,                 
V1106 Ori ,                 
V1258 Ori ,                 
V567 Ori  ,                 
V1079 Ori ,                 
V349 Ori  ,                 
V2612 Ori ,                 
Y Ori     ,M3e-M5           
V2719 Ori ,                 
V1255 Ori ,                 
V1295 Ori ,                 
V2601 Ori ,                 
V890 Ori  ,                 
V1256 Ori ,                 
V1253 Ori ,                 
V1047 Ori ,                 
V2747 Ori ,G8               
V955 Ori  ,                 
V1242 Ori ,                 
V1138 Ori ,                 
TZ Ori    ,                 
V2631 Ori ,                 
V2758 Ori ,G8/K3            
V1148 Ori ,                 
V1377 Ori ,                 
V2678 Ori ,                 
V2641 Ori ,                 
V2666 Ori ,                 
V2685 Ori ,                 
V511 Ori  ,ea               
V606 Ori  ,ea               
V908 Ori  ,                 
V1774 Ori ,K7               
V1780 Ori ,K7               
V1766 Ori ,M3.5             
V1777 Ori ,K4               
V1590 Ori ,                 
V997 Ori  ,                 
V381 Ori  ,G8Vea            
V1184 Ori ,                 
V1618 Ori ,                 
V951 Ori  ,M2e(T)           
V1190 Ori ,                 
V1306 Ori ,                 
V1788 Ori ,B9Ve             
BP Ori    ,                 
PW Ori    ,ea               
V1885 Ori ,K3               
V1222 Ori ,                 
V680 Ori  ,                 
V2404 Ori ,                 
V561 Ori  ,ea               
V1069 Ori ,ea               
V1196 Ori ,                 
V544 Ori  ,                 
V724 Ori  ,                 
V2119 Ori ,G9               
V1104 Ori ,                 
V687 Ori  ,                 
V678 Ori  ,                 
V1045 Ori ,B9IVp(Si-Mn)     
V1806 Ori ,G4               
NN Ori    ,                 
V1223 Ori ,                 
V969 Ori  ,                 
V1058 Ori ,                 
V708 Ori  ,                 
V974 Ori  ,                 
V1937 Ori ,                 
V679 Ori  ,                 
V685 Ori  ,                 
V1165 Ori ,                 
V1209 Ori ,                 
V2039 Ori ,                 
V2112 Ori ,                 
V1159 Ori ,                 
V941 Ori  ,                 
V693 Ori  ,                 
V677 Ori  ,                 
V2048 Ori ,                 
V1950 Ori ,                 
V1216 Ori ,                 
V703 Ori  ,                 
V1375 Ori ,                 
V2443 Ori ,                 
V706 Ori  ,                 
V1311 Ori ,                 
V778 Ori  ,                 
V1945 Ori ,                 
V2070 Ori ,                 
RY Ori    ,F6e              
V986 Ori  ,                 
V2755 Ori ,K0               
V869 Ori  ,                 
V874 Ori  ,ea               
V587 Ori  ,ea               
V592 Ori  ,                 
V1254 Ori ,                 
V2371 Ori ,G7V              
V594 Ori  ,ea               
V1144 Ori ,                 
V1235 Ori ,                 
V845 Ori  ,                 
AT Ori    ,ea               
V1787 Ori ,A5e              
AY Ori    ,                 
V1002 Ori ,ea               
NT Ori    ,ea               
V2627 Ori ,                 
V2637 Ori ,e                
V2665 Ori ,                 
V863 Ori  ,                 
TW Ori    ,M0.5e            
V380 Ori  ,B8-A2eq(T)       
V577 Ori  ,K7e              
AV Ori    ,K4e(T)           
V819 Ori  ,                 
V996 Ori  ,                 
V1248 Ori ,                 
V1300 Ori ,                 
BF Ori    ,A0:-FpII-Vea     
V573 Ori  ,M0e              
V846 Ori  ,ea               
BE Ori    ,K0e              
V857 Ori  ,                 
V1189 Ori ,                 
V958 Ori  ,                 
V658 Ori  ,                 
V1133 Ori ,                 
V2668 Ori ,                 
V801 Ori  ,                 
V2671 Ori ,                 
V582 Ori  ,ea               
V896 Ori  ,                 
V1142 Ori ,                 
V571 Ori  ,ea               
V832 Ori  ,                 
BD Ori    ,K3ea             
V876 Ori  ,                 
BB Ori    ,ea               
PR Ori    ,                 
V805 Ori  ,                 
BH Ori    ,K3               
V1178 Ori ,                 
V899 Ori  ,                 
V1152 Ori ,                 
V2659 Ori ,                 
V1001 Ori ,ea               
V1181 Ori ,                 
V586 Ori  ,A2Vea            
V2679 Ori ,e                
PY Ori    ,                 
V1814 Ori ,K0IV/Ve          
PP Ori    ,                 
V1153 Ori ,                 
V904 Ori  ,                 
V1020 Ori ,ea               
V588 Ori  ,ea               
HN Ori    ,                 
V534 Ori  ,e(T)             
GZ Ori    ,                 
V1088 Ori ,                 
V1204 Ori ,                 
IU Ori    ,K3III            
V1037 Ori ,                 
V1262 Ori ,                 
UZ Ori    ,ea               
V966 Ori  ,                 
V705 Ori  ,                 
V684 Ori  ,                 
HU Ori    ,                 
V466 Ori  ,K1e              
V538 Ori  ,                 
HR Ori    ,                 
V1089 Ori ,                 
V541 Ori  ,                 
V1212 Ori ,                 
V1157 Ori ,                 
V383 Ori  ,                 
V1651 Ori ,                 
MX Ori    ,F8-G5III-IV/Vea  
V1735 Ori ,K4               
V712 Ori  ,                 
V1321 Ori ,                 
V1655 Ori ,K8               
EZ Ori    ,F8Vnea           
V926 Ori  ,                 
V1061 Ori ,                 
IN Ori    ,                 
V927 Ori  ,                 
UY Ori    ,B9               
V1698 Ori ,M4.5             
V2047 Ori ,                 
V1040 Ori ,                 
V546 Ori  ,ea               
V1931 Ori ,                 
V1169 Ori ,K4e              
BT Ori    ,ea               
HS Ori    ,cont+e(T)        
V533 Ori  ,M                
V1268 Ori ,                 
V2084 Ori ,                 
BS Ori    ,M2:ea            
S Ori     ,M6.5e-M9.5e      
V1692 Ori ,K7               
HX Ori    ,ea               
V539 Ori  ,                 
V1878 Ori ,K2/3+K2/3        
V535 Ori  ,M6               
V1672 Ori ,                 
V1203 Ori ,                 
V2844 Ori ,                 
V1046 Ori ,B2Vp(He+)        
V1272 Ori ,                 
V737 Ori  ,                 
V481 Ori  ,ea               
SY Ori    ,K2-K3eII-III(T)  
V1686 Ori ,K1               
V1973 Ori ,                 
V2014 Ori ,B5V              
V2585 Ori ,                 
V2593 Ori ,                 
V2595 Ori ,                 
V2538 Ori ,                 
V2623 Ori ,                 
V2435 Ori ,                 
V2712 Ori ,                 
V2813 Ori ,                 
V1304 Ori ,                 
DL Ori    ,K1e(T)           
UU Ori    ,                 
V1791 Ori ,Fe               
V1305 Ori ,                 
V2662 Ori ,                 
V2262 Ori ,                 
V840 Ori  ,                 
V2268 Ori ,                 
V2655 Ori ,                 
V2818 Ori ,                 
V1179 Ori ,                 
V902 Ori  ,                 
V2597 Ori ,                 
V909 Ori  ,M3e              
V806 Ori  ,                 
V593 Ori  ,ea               
V995 Ori  ,                 
DK Ori    ,                 
V1966 Ori ,                 
IL Ori    ,                 
V1161 Ori ,                 
V1650 Ori ,F7               
HT Ori    ,M8III            
V938 Ori  ,                 
XX Ori    ,M2.5e            
V1006 Ori ,M0e(T)           
HL Ori    ,                 
V732 Ori  ,                 
V1207 Ori ,                 
V999 Ori  ,                 
IY Ori    ,K2IV(e)          
V2025 Ori ,                 
V1932 Ori ,                 
V2050 Ori ,                 
V1886 Ori ,K1               
V1993 Ori ,                 
V1907 Ori ,                 
V1914 Ori ,                 
V1861 Ori ,K5V              
V1119 Ori ,                 
V2210 Ori ,                 
V1882 Ori ,K2/3+K3          
V1889 Ori ,                 
V1263 Ori ,                 
V792 Ori  ,                 
V2031 Ori ,                 
V1643 Ori ,                 
V688 Ori  ,                 
V734 Ori  ,                 
V1208 Ori ,                 
V1060 Ori ,                 
IK Ori    ,                 
V1955 Ori ,                 
V1310 Ori ,                 
V1113 Ori ,                 
V741 Ori  ,                 
V699 Ori  ,                 
V785 Ori  ,                 
V1066 Ori ,                 
V1213 Ori ,                 
V1862 Ori ,G5III-IV         
V755 Ori  ,                 
V707 Ori  ,                 
V1373 Ori ,                 
SW Ori    ,G-K4e            
V739 Ori  ,                 
V2204 Ori ,                 
HH Ori    ,                 
V1014 Ori ,                 
V374 Ori  ,ea               
V2055 Ori ,                 
V718 Ori  ,                 
V1112 Ori ,                 
V766 Ori  ,ea               
V2001 Ori ,                 
V794 Ori  ,                 
V1894 Ori ,                 
BW Ori    ,ea               
V542 Ori  ,ea               
V771 Ori  ,                 
V2098 Ori ,                 
V775 Ori  ,                 
V2087 Ori ,G0V              
V2133 Ori ,                 
V1680 Ori ,K8               
V1917 Ori ,                 
V545 Ori  ,                 
KU Ori    ,                 
V1221 Ori ,                 
EX Ori    ,M7IIIe           
V1918 Ori ,                 
V2052 Ori ,                 
V1908 Ori ,                 
DI Ori    ,                 
V760 Cas  ,B3III            
V887 Cas  ,                 
V1066 Cas ,                 
W Cas     ,"C7,1e(SC5/9e)    "
V387 Cas  ,                 
V366 Cas  ,G1:              
V449 Cas  ,                 
V550 Cas  ,                 
KL Cas    ,OB               
V1054 Cas ,M5               
V365 Cas  ,S6/3             
V453 Cas  ,                 
GW Cas    ,C                
IY Cas    ,                 
V416 Cas  ,                 
HU Cas    ,A2               
V1265 Cas ,                 
eta Cas   ,G0V+M            
FQ Cas    ,C                
UW Cas    ,M8               
V1049 Cas ,                 
V749 Cas  ,K7               
NY Cas    ,                 
NW Cas    ,M4               
V1046 Cas ,                 
GV Cas    ,M3               
OO Cas    ,M6.5             
GY Cas    ,                 
V758 Cas  ,K2               
V536 Cas  ,                 
V1048 Cas ,                 
V1040 Cas ,                 
FX Cas    ,"C6,4e            "
NS Cas    ,                 
FS Cas    ,F2               
HR Cas    ,                 
HW Cas    ,                 
V457 Cas  ,                 
HK Cas    ,                 
HM Cas    ,                 
HN Cas    ,                 
V386 Cas  ,                 
HH Cas    ,                 
GZ Cas    ,M                
V1009 Cas ,                 
HV Cas    ,"C4,3-5,4e(Ne)    "
HI Cas    ,                 
V1273 Cas ,                 
V456 Cas  ,                 
HP Cas    ,                 
KT Cas    ,                 
OW Cas    ,                 
V460 Cas  ,                 
MM Cas    ,F                
KR Cas    ,A0               
NR Cas    ,                 
V517 Cas  ,                 
V411 Cas  ,                 
V1050 Cas ,C                
V962 Cas  ,                 
FU Cas    ,                 
V961 Cas  ,                 
V751 Cas  ,B9               
T Cas     ,M6e-M9e          
NV Cas    ,                 
V754 Cas  ,K7               
V1047 Cas ,                 
V1051 Cas ,                 
KQ Cas    ,                 
V963 Cas  ,                 
V409 Cas  ,                 
FN Cas    ,M3               
V417 Cas  ,                 
FV Cas    ,A0V              
V592 Cas  ,pec(e)           
V409 Sct  ,                 
