     B5III            : 8
     A7Vm             : 8
     M2.0Iab          : 8
     CS(M2p)          : 8
     F0-F8            : 8
     M7e-M9e          : 8
     B9e              : 8
     A2Vea            : 8
     F5:              : 8
     A7-F5            : 8
     G5V+K0III-IV     : 8
     M2.5Iab          : 8
     K0+G9            : 8
     F2IV             : 8
     A1:              : 8
     G7               : 8
     M3-M7            : 8
     M6.5:            : 8
     B0.5IV           : 8
     B9Ve             : 8
     A9V              : 8
     B1               : 8
     K2e              : 8
     F8IV+F7IV        : 8
     F0-F5            : 8
     M3e-M7e          : 8
     M2.5             : 8
     G4               : 8
     F5-F8            : 8
     Se               : 8
     K6Ve-M1Ve(T)     : 8
     B9:              : 8
     K3Ve-K7Ve        : 7
     A7:+G8IV:        : 7
     K2Ve             : 7
     K:ea             : 7
     K3e              : 7
     B5/8eq+F5/7      : 7
     F2II             : 7
     K0IV/Ve          : 7
     K4III            : 7
     B0.5V            : 7
     M2.5Ve           : 7
     A1-F5IVe         : 7
     O9.7IIIe         : 7
     G2IVe:-K2-5V     : 7
     A2e              : 7
     B8e-A5eII-III    : 7
     B3Vne            : 7
     M:Ve             : 7
     pec(cont+e)      : 7
     K2:Vea           : 7
     B3III            : 7
     C(R:)            : 7
     A7-F2            : 7
     M1-3Ve(T)        : 7
     M4IIIab          : 7
     Fe               : 7
     K3Ve             : 7
     M5:e             : 7
     M3(II)e-M5IIe    : 7
     M5IIIe           : 7
     K2/3+K3          : 7
     K1:              : 7
     F3               : 7
     B3Vnn            : 7
     G5Vpe            : 7
     B8III            : 7
     B3Ve             : 7
     G4V              : 7
     F3V              : 7
     C5,5(N)          : 7
     Ce               : 7
     M7IIIe           : 7
     B3-Ke(T)         : 7
     G8Vea            : 7
     B3Vn             : 7
     F8Vnea           : 7
     A2:              : 7
     M4.5Ve           : 7
     K2/3+K2/3        : 7
     K5e              : 7
     M3e-M5           : 6
     B3II/III         : 6
     K3-K6IV-Ve       : 6
     Np               : 6
     M5IIb            : 6
     G6/G8Ib          : 6
     A9-F5            : 6
     KOIII:p          : 6
     M9:              : 6
     G5III-IV         : 6
     B5IV             : 6
     M3Iab            : 6
     A7-F3            : 6
     M4eIa-M10eIa     : 6
     M5.5             : 6
     M5+pec(e+cont)   : 6
     M7.0-M8.2ea      : 6
     B1.5Venn         : 6
     M1-M7            : 6
     B9.5IIIp(Si)     : 6
     MIIIe            : 6
     B5Vn             : 6
