id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b
0,1875.8848580649417,1.8498512580035475,327.47500475034985,60.20448339836875,321952.7139062501,5598.5187647185985,-13.769480225841992,0.018880146845548115,0,1.6991182565689087,1.2601449489593506
1,862.5172131555942,2.2542023281102717,330.62905231853694,60.06422176770363,313915.27828125,5733.251239766251,-13.742031133402444,0.019829549157564703,0,1.4325292110443115,1.4075126647949219
2,2716.233150570636,2.0646607250722155,324.8337092373312,60.26263203168956,265438.36781250004,5667.808998441329,-13.55990924550078,0.023183330586211776,0,1.3679252862930298,1.2572399377822876
3,3558.258729457116,1.9748494435654562,322.1757638810832,60.2683476878558,276279.9834375001,5627.593722759089,-13.603373553247295,0.022115544435926702,0,2.651063919067383,1.3264076709747314
4,3732.454926605474,3.4780370606208875,321.6256180394074,60.26048359597381,225861.50875000004,5766.038966114433,-13.384605562229977,0.02771785816097614,0,1.4671664237976074,0.9826878309249878
5,421.6041798804329,2.7742829355531837,331.9862811322867,59.97961008434641,318795.13781250006,5753.919908446112,-13.758779222546508,0.01959640666650584,0,3.581202268600464,1.8510255813598633
6,243.43041454952362,5.7196944671984316,332.5304791851621,59.93732380363269,395491.3145312501,5768.648746416378,-13.992842375762685,0.015836582413801568,0,1.5466644763946533,1.433669924736023
7,1050.9070525794798,7.046253147984808,330.04449205975516,60.08838082780723,186084.23203125002,5758.55182724192,-13.174273936159224,0.03359912947789504,0,2.012667655944824,0.8825479745864868
8,1112.9500814755465,7.621969729219792,329.8519747753163,60.09732951205573,281638.0240625001,5754.732498914481,-13.624228221751505,0.022184935587330756,0,1.3736013174057007,1.2246607542037964
9,2153.914573742611,6.957240684189961,326.60226096967364,60.221676166916865,278256.87343750003,5758.478437785238,-13.611114752454952,0.022469125189918393,0,1.8114293813705444,1.1239995956420898
10,2579.060929625311,7.248219351810441,325.265401493206,60.24858087973105,344200.6696875,5772.26433773502,-13.842029277422947,0.018207856424576608,0,1.6407262086868286,1.5946846008300781
11,3629.3960308000487,8.025488323809984,321.9513677050601,60.256904438632176,247314.13906250003,5747.705047587472,-13.48312236471331,0.02523305577308582,0,1.2662596702575684,1.1219799518585205
12,4921.651079251405,6.612172369457233,317.8782639235264,60.15696232274715,297626.8365625,5743.988870250577,-13.684180220792932,0.020953946049314595,0,2.287809371948242,1.3370871543884277
13,3389.331616645618,7.825872781265678,322.7094704086815,60.262352544810895,290896.929375,5759.57585021458,-13.659347842456494,0.021496892518130434,0,3.2373037338256836,1.4832254648208618
14,812.2688007079015,5.646617282559712,330.78307565237145,60.05011749413083,280250.4115625002,5766.722234212647,-13.618865647629539,0.022341230749886087,0,3.9709317684173584,1.629472255706787
15,3577.666934422676,9.571861576216794,322.1147959361033,60.25595815839046,374246.6634375,5774.866368881405,-13.9328948427973,0.016753606930638022,0,2.569398880004883,1.5790990591049194
16,3786.9636788095454,10.316051376952059,321.4539807659734,60.24758858811264,266043.81546875,5753.377436381934,-13.562382919108313,0.023479779717157603,0,1.3659169673919678,1.1882034540176392
17,2031.5577501149417,11.015784053483177,326.9854360861605,60.20498357607212,180266.1229687501,5737.818083816248,-13.139785295867249,0.03455866652768235,0,2.173374891281128,0.9333744049072266
18,2468.1352851505485,12.642203303733849,325.6139461801798,60.234316248988016,286206.06312500004,5767.23859209284,-13.641697074553797,0.021878291719413055,0,2.8128392696380615,1.2844995260238647
19,4006.284018894083,12.624373936624234,320.7619433629425,60.232886040092794,266785.33484375005,5761.519878889923,-13.565404881969187,0.02344765588636331,0,1.35737144947052,1.1976200342178345
20,1163.9207134273024,12.24215228717046,329.69243531391686,60.09803826241333,223625.82046875,5761.81054317727,-13.373804867442175,0.02797443648757397,0,1.2913367748260498,1.0450303554534912
21,4950.038374890421,15.168252682737535,317.7912172215403,60.139958209979305,213771.21640625005,5748.832866452655,-13.324873071201115,0.029198112276955797,0,1.4890934228897095,0.9401073455810547
22,3058.4062023092306,16.0084038781532,323.7539047382248,60.249517966923975,281298.708125,5754.703017369793,-13.6229193441397,0.02221158232554977,0,1.4539079666137695,1.2169888019561768
23,4019.20988890836,15.263070617448363,320.7214463168053,60.2279909631419,355533.3759375001,5753.07079879411,-13.877200941673603,0.017568863227866372,0,1.6507707834243774,1.5087535381317139
24,4231.829943213111,15.86952302387013,320.05097528520787,60.21262887122164,296517.49687500007,5764.099537384396,-13.680125813155124,0.021105977291471838,0,1.7301068305969238,1.2184319496154785
25,4492.133473619239,15.157202839166434,319.2307515078607,60.1914714078134,299905.42609375005,5768.42615806892,-13.692460808457303,0.02088321377130224,0,1.6806800365447998,1.538840889930725
26,1854.2312967108812,14.292350096215735,327.54025753424145,60.1828985097412,416528.5804687501,5770.471871993552,-14.049112015641631,0.015041489404907384,0,2.4970219135284424,2.1267309188842773
27,3559.722847660437,18.24263599023473,322.17182429891375,60.24285290941539,233235.11734375005,5762.644361084914,-13.41948485278593,0.026825770017959213,0,1.189728021621704,1.136666178703308
28,1313.293205645579,18.709407815299272,329.2266093922822,60.109989600895545,306330.67515625,5785.084384013448,-13.715476220257134,0.020504233081131997,0,1.501666784286499,1.335554599761963
29,3308.759732451982,18.71370797584359,322.9639438467125,60.246066408138105,231643.80015625,5754.429671579648,-13.412051702488002,0.02697155126946696,0,1.4951846599578857,1.0950279235839844
30,91.3307994487402,18.72213908290273,332.98872554417676,59.883361610134045,127806.72093750001,5749.446295160736,-12.766384231373662,0.04884236098210478,0,5.308803081512451,0.7327032089233398
31,1146.1127766948184,16.728570736632513,329.7463188988825,60.088347998484785,451317.2956250001,5785.55625204915,-14.136204942766513,0.013918340707097316,0,2.3981895446777344,2.3490846157073975
32,3239.9824742714895,21.004455421580904,323.1809711842955,60.24273728611563,215890.31906249997,5744.970800105298,-13.335582920425658,0.028892091225020816,0,1.1888636350631714,1.1619800329208374
33,5046.905720616116,20.21878415660694,317.4886457469173,60.119178918619134,326416.7259375001,5762.658567964747,-13.784431010898881,0.01916791189216497,0,1.50589120388031,1.3171844482421875
