RA (degrees),DEC (degrees)
311.4152829166667,30.720569444444443
310.26194791666666,32.30343027777778
309.4317295833333,33.36574027777778
309.75045374999996,30.337174444444443
307.34046083333334,30.368372222222224
313.47362625,33.44034805555555
314.99553041666667,32.49866527777778
314.5593958333333,30.395865277777776
313.64176624999993,28.055205833333336
312.8665808333334,28.249469166666668
308.98929791666666,28.794289722222224
315.8799758333334,29.088028333333334
315.59154625,28.234293055555558
314.52063749999996,29.276678333333333
311.0142991666667,29.148861944444445
309.3878979166667,31.52091361111111
308.6151325,31.546366944444447
308.68523749999997,32.50483055555556
310.9656029166666,33.100568333333335
316.02845333333335,33.241147500000004
314.178805,31.591162777777775
313.38492916666667,31.625407222222222
315.94777208333335,31.42013888888889
313.2770291666667,29.65226222222222
312.64700416666665,30.41217888888889
311.6987045833333,32.41743333333333
308.26223458333334,28.86279777777778
309.87402833333334,28.088461944444443
315.88575041666667,29.925320833333334
307.87088624999996,33.10174916666667
